#sample_id,sample_name,bam_dir,bam_file
288,Hct116AlnRep1,,wgEncodeUwDnaseHct116AlnRep1.bam
289,Hct116AlnRep2,,wgEncodeUwDnaseHct116AlnRep2.bam
290,HeeAlnRep1,,wgEncodeUwDnaseHeeAlnRep1.bam
291,HeeAlnRep2,,wgEncodeUwDnaseHeeAlnRep2.bam
292,Helas3AlnRep1,,wgEncodeUwDnaseHelas3AlnRep1.bam
293,Helas3AlnRep2,,wgEncodeUwDnaseHelas3AlnRep2.bam
294,Hepg2AlnRep1,,wgEncodeUwDnaseHepg2AlnRep1.bam
295,Hepg2AlnRep2,,wgEncodeUwDnaseHepg2AlnRep2.bam
296,HffAlnRep1,,wgEncodeUwDnaseHffAlnRep1.bam
297,HffAlnRep2,,wgEncodeUwDnaseHffAlnRep2.bam
298,HffmycAlnRep1,,wgEncodeUwDnaseHffmycAlnRep1.bam
299,HffmycAlnRep2,,wgEncodeUwDnaseHffmycAlnRep2.bam
300,HgfAlnRep1,,wgEncodeUwDnaseHgfAlnRep1.bam
301,HgfAlnRep2,,wgEncodeUwDnaseHgfAlnRep2.bam
302,HipeAlnRep1,,wgEncodeUwDnaseHipeAlnRep1.bam
303,HipeAlnRep2,,wgEncodeUwDnaseHipeAlnRep2.bam
304,Hl60AlnRep1,,wgEncodeUwDnaseHl60AlnRep1.bam
305,Hl60AlnRep2,,wgEncodeUwDnaseHl60AlnRep2.bam
